484 = "哈瓦那"  # La Havane
117 = "锡耶纳"  # Sienne
118 = "罗马"  # Rome
119 = "安寇涅"  # Ancône
120 = "阿布鲁佐"  # Abruzzes
121 = "那普勒"  # Naples
123 = "卡拉布里亚"  # Calabre
124 = "墨西拿"  # Messine
125 = "巴勒莫"  # Palerme
127 = "撒丁尼"  # Sardaigne
205 = "萨瓦"  # Savoie
1247 = "科西嘉"  # Corse
1774 = "特雷斯"  # Trévise
1862 = "克雷恩"  # Crémone
1875 = "库尼奥"  # Coni
1934 = "卢卡尼亚"  # Lucanie
197 = "鲁西永"  # Roussillon
206 = "加利西"  # Galice
207 = "阿斯图里亚斯"  # Asturies
208 = "里昂"  # León
211 = "比利尼"  # Pyrénées
212 = "赫罗纳"  # Gironne
213 = "巴塞罗那"  # Barcelone
214 = "阿拉贡"  # Aragon
215 = "卡斯提尔"  # Castille
216 = "萨拉曼卡"  # Salamanque
219 = "图勒"  # Tolède
220 = "瓦隆斯"  # Valence
221 = "穆尔西亚"  # Murcie
222 = "阿尔米"  # Almérie
223 = "格拉纳达"  # Grenade
224 = "塞利威尔"  # Séville
225 = "科尔多瓦"  # Cordoue
226 = "直布罗陀"  # Gibraltar
333 = "巴力阿尔斯"  # Baléares
366 = "加纳利"  # Canaries
1745 = "坎塔布里亚"  # Cantabrie
1747 = "卡塞雷斯"  # Cacéres
1748 = "哈恩"  # Jaén
1749 = "加迪斯"  # Cadix
1750 = "阿利坎特"  # Alicante
227 = "里斯波尼"  # Lisbonne
232 = "布拉干萨"  # Bragance
367 = "亚速尔"  # Açores
368 = "马德拉"  # Madère
1096 = "佛得角"  # Cap-Vert
126 = "马耳他"  # Malte
41 = "东普鲁士"  # Prusse orientale
42 = "瓦尔米埃"  # Varmie
43 = "但泽"  # Dantzig
44 = "汉堡"  # Hambourg
46 = "梅克伦堡"  # Mecklembourg
47 = "西波美拉尼亚"  # Poméranie antérieure
48 = "东波美拉尼亚"  # Poméranie ultérieure
50 = "勃兰登堡"  # Brandebourg
53 = "吕讷堡"  # Lunebourg
55 = "奥尔登堡"  # Oldenbourg
57 = "布伦瑞克"  # Brunswick
59 = "维滕贝格"  # Wittemberg
60 = "上劳西茨"  # Haute-Lusace
61 = "萨克斯"  # Saxe
63 = "图林根"  # Thuringe
64 = "下巴伐利亚"  # Basse-Bavière
65 = "慕尼黑"  # Munich
67 = "纽伦堡"  # Nuremberg
69 = "康斯坦茨"  # Constance
70 = "符腾堡"  # Wurtemberg
72 = "布莱斯高"  # Brisgau
73 = "蒂罗尔"  # Tyrol
74 = "巴登"  # Bade
75 = "阿尔萨斯"  # Alsace
76 = "萨尔茨堡"  # Salzbourg
78 = "美因茨"  # Mayence
79 = "维尔茨堡"  # Wurtzbourg
80 = "特里斯"  # Trèves
81 = "海辛"  # Hesse
82 = "威斯特伐利亚"  # Westphalie
85 = "科隆"  # Cologne
86 = "明斯特"  # Munster
90 = "佛兰德斯"  # Flandres
95 = "布雷德"  # Bréda
96 = "海牙"  # Zélande
97 = "荷兰德"  # Hollande
99 = "古尔德省"  # Gueldre
100 = "弗莱斯"  # Frise
110 = "特伦汀"  # Trentin
121 = "那普勒"  # Naples
128 = "卡恩坦"  # Carinthie
129 = "卡尼鄂拉"  # Carniole
132 = "施蒂利亚"  # Styrie
134 = "维也纳"  # Vienne
165 = "伯尔尼"  # Berne
166 = "森林州"  # Waldstätten
181 = "雷特尔"  # Rethélois
188 = "三主教辖区"  # Trois Evechés
189 = "洛林"  # Lorraine
1742 = "林堡"  # Limbourg
1743 = "康布雷"  # Cambrésis
1744 = "安维尔斯"  # Anvers
1757 = "上普法尔茨"  # Haut-Palatinat
1758 = "汉诺威"  # Hannovre
1760 = "科布伦茨"  # Coblence
1761 = "普法尔茨"  # Palatinat
1762 = "卡塞尔"  # Cassel
1763 = "下劳西茨"  # Basse-Lusace
1769 = "戈兹"  # Gorice
1841 = "玛丽安堡"  # Marienbourg
1865 = "根德"  # Gand
1868 = "奥格斯堡"  # Augsbourg
1872 = "乌尔姆"  # Ulm
1873 = "格劳宾登"  # Grisons
1874 = "不莱梅"  # Brême
1869 = "苏黎世"  # Zurich
1870 = "圣加仑"  # Saint-Gall
1876 = "法兰克福"  # Francfort
1878 = "埃克萨-查贝尔"  # Aix-la-Chapelle
1931 = "东菲士兰"  # Frise orientale
2753 = "纳博讷"  # Narbonnais
3003 = "内格罗蓬特"  # Negroponte
